cost_id,date,cost_type,amount,fixed_or_variable
1,2023-01-01,payment_fees,606.03,variable
2,2023-01-01,marketing,17524.87,variable
3,2023-01-01,infra,11440.58,fixed
4,2023-01-01,support,7266.38,fixed
5,2023-02-01,payment_fees,617.32,variable
6,2023-02-01,marketing,16360.41,variable
7,2023-02-01,infra,12358.17,fixed
8,2023-02-01,support,7196.0,fixed
9,2023-03-01,payment_fees,968.72,variable
10,2023-03-01,marketing,11718.68,variable
11,2023-03-01,infra,12082.0,fixed
12,2023-03-01,support,7205.07,fixed
13,2023-04-01,payment_fees,1135.11,variable
14,2023-04-01,marketing,5456.84,variable
15,2023-04-01,infra,12468.86,fixed
16,2023-04-01,support,7075.63,fixed
17,2023-05-01,payment_fees,1172.06,variable
18,2023-05-01,marketing,6478.73,variable
19,2023-05-01,infra,12503.64,fixed
20,2023-05-01,support,6735.67,fixed
21,2023-06-01,payment_fees,1538.92,variable
22,2023-06-01,marketing,9188.2,variable
23,2023-06-01,infra,11753.27,fixed
24,2023-06-01,support,7554.88,fixed
25,2023-07-01,payment_fees,1335.74,variable
26,2023-07-01,marketing,5512.91,variable
27,2023-07-01,infra,11805.86,fixed
28,2023-07-01,support,6910.03,fixed
29,2023-08-01,payment_fees,1812.33,variable
30,2023-08-01,marketing,8599.62,variable
31,2023-08-01,infra,12358.42,fixed
32,2023-08-01,support,7228.3,fixed
33,2023-09-01,payment_fees,1694.6,variable
34,2023-09-01,marketing,7473.72,variable
35,2023-09-01,infra,12418.14,fixed
36,2023-09-01,support,6799.17,fixed
37,2023-10-01,payment_fees,2036.08,variable
38,2023-10-01,marketing,11738.4,variable
39,2023-10-01,infra,11566.03,fixed
40,2023-10-01,support,7592.09,fixed
41,2023-11-01,payment_fees,2031.73,variable
42,2023-11-01,marketing,15228.28,variable
43,2023-11-01,infra,11705.78,fixed
44,2023-11-01,support,7479.57,fixed
45,2023-12-01,payment_fees,1879.86,variable
46,2023-12-01,marketing,17442.53,variable
47,2023-12-01,infra,11501.35,fixed
48,2023-12-01,support,7577.6,fixed
49,2024-01-01,payment_fees,2411.4,variable
50,2024-01-01,marketing,18855.89,variable
51,2024-01-01,infra,12529.53,fixed
52,2024-01-01,support,7257.28,fixed
53,2024-02-01,payment_fees,2986.9,variable
54,2024-02-01,marketing,14249.54,variable
55,2024-02-01,infra,12155.65,fixed
56,2024-02-01,support,7314.46,fixed
57,2024-03-01,payment_fees,2876.55,variable
58,2024-03-01,marketing,14295.21,variable
59,2024-03-01,infra,12212.17,fixed
60,2024-03-01,support,6905.93,fixed
61,2024-04-01,payment_fees,2358.2,variable
62,2024-04-01,marketing,5522.58,variable
63,2024-04-01,infra,12327.57,fixed
64,2024-04-01,support,7178.69,fixed
65,2024-05-01,payment_fees,3041.84,variable
66,2024-05-01,marketing,5928.54,variable
67,2024-05-01,infra,11673.17,fixed
68,2024-05-01,support,7720.01,fixed
69,2024-06-01,payment_fees,3298.03,variable
70,2024-06-01,marketing,7727.47,variable
71,2024-06-01,infra,11629.16,fixed
72,2024-06-01,support,7195.04,fixed
